parcel_id,vns_bldg_style,vns_bldg_use,vns_gla,vns_bldg_area_effective,vns_pct_good,cns_assess_val,bld_year_built,bld_effective_year_built,bld_grade,bld_condition,bld_units
10-31,,,,0,,0,,,,,
10-32,,,,0,,0,,,,,
10-33,,,,0,,0,,,,,
10-34,,,,0,,0,,,,,
10-35,,,,0,,0,,,,,
12-1,,,,2888,76,327000,,,,,
12-2,,,,0,,0,,,,,
12-3,,,,0,,0,,,,,
12-4,,,,1400,83,207000,,,,,
12-5,,,,1872,83,221700,,,,,
12-5-100,,,,2422,91,284000,,,,,
12-5-200,,,,1246,91,198900,,,,,
12-5-300,,,,2249,94,330600,,,,,
12-5-400,,,,2322,90,332800,,,,,
12-5-500,,,,1190,90,195600,,,,,
13-1,,,,0,,0,,,,,
13-2,,,,1636,90,265900,,,,,
13-3,,,,1444,90,216400,,,,,
13-4,,,,1690,98,375400,,,,,
13-5,,,,5530,71,850100,,,,,
13-6,,,,1902,86,272600,,,,,
14-1,,,,1620,75,213900,,,,,
14-2,,,,1228,75,163800,,,,,
14-3,,,,1436,82,185300,,,,,
14-3,,,,947,78,109600,,,,,
14-5,,,,925,57,94000,,,,,
14-6,,,,1989,87,259200,,,,,
14-7,,,,1384,75,155800,,,,,
14-8,,,,2113,75,243500,,,,,
14-9,,,,2362,75,258400,,,,,
14-10,,,,2087,79,216900,,,,,
14-11,,,,1522,83,201300,,,,,
14-12,,,,1294,83,177500,,,,,
14-13,,,,1642,79,192300,,,,,
14-14,,,,1312,75,167400,,,,,
14-15,,,,2127,79,260400,,,,,
14-16,,,,560,74,26500,,,,,
14-17-100,,,,2690,71,295400,,,,,
14-17-200,,,,0,,0,,,,,
14-17-300,,,,3186,91,471200,,,,,
14-18,,,,0,,0,,,,,
14-19,,,,1631,71,183600,,,,,
14-20,,,,0,,0,,,,,
14-21,,,,1269,71,155300,,,,,
14-22,,,,1478,75,178800,,,,,
14-23,,,,0,,0,,,,,
20-1,,,,6242,88,924300,,,,,
20-2,,,,2093,87,280100,,,,,
21-1,,,,0,,0,,,,,
21-2,,,,0,,0,,,,,
21-3,,,,0,,0,,,,,
21-4,,,,1315,0,0,,,,,
21-5,,,,1482,82,231200,,,,,
21-6,,,,0,,0,,,,,
21-7,,,,1972,76,252300,,,,,
21-8,,,,0,,0,,,,,
21-9,,,,0,,0,,,,,
22-1,,,,0,,0,,,,,
22-2,,,,0,,0,,,,,
24-1,,,,204732,100,21981100,,,,,
24-1-100,,,,,,,,,,,
24-2,,,,70964,99,9618500,,,,,
24-2,,,,70964,99,9618500,,,,,
24-2,,,,70964,99,9618500,,,,,
24-2,,,,75399,99,10705300,,,,,
24-2,,,,7188,99,914400,,,,,
24-3,,,,1430,87,200000,,,,,
24-4,,,,0,,0,,,,,
24-5,,,,0,,0,,,,,
24-6,,,,0,,0,,,,,
24-7,,,,2863,68,212800,,,,,
24-8,,,,0,,0,,,,,
24-9,,,,84263,0,0,,,,,
24-9,,,,84263,0,0,,,,,
24-9,,,,84263,0,0,,,,,
24-9,,,,10093,0,0,,,,,
24-11,,,,25265,87,3608800,,,,,
24-11,,,,25574,87,3647000,,,,,
24-11,,,,25574,87,3647000,,,,,
24-11,,,,25574,87,3647000,,,,,
24-11,,,,25574,87,3647000,,,,,
24-11,,,,123223,87,17045600,,,,,
24-11,,,,3248,87,461800,,,,,
24-12,,,,2203,87,331000,,,,,
24-13,,,,0,,0,,,,,
24-14,,,,,,,,,,,
24-14-100,,,,81373,92,15403300,,,,,
24-14-200,,,,43529,97,4529900,,,,,
24-14-300,,,,0,,0,,,,,
24-14-400,,,,0,,0,,,,,
24-14-500,,,,0,,0,,,,,
24-14-600,,,,0,,0,,,,,
24-15,,,,0,,0,,,,,
24-16,,,,0,,0,,,,,
26-1,,,,132294,73,9094900,,,,,
26-1-100,,,,0,,0,,,,,
26-2,,,,58772,85,1775400,,,,,
26-2,,,,52408,86,6001700,,,,,
26-2-102,,,,786,98,283000,,,,,
26-2-104,,,,1092,98,376300,,,,,
26-2-106,,,,807,98,279700,,,,,
26-2-107,,,,860,98,292600,,,,,
26-2-108,,,,790,98,283500,,,,,
26-2-109,,,,814,98,286800,,,,,
26-2-110,,,,1198,98,396100,,,,,
26-2-111,,,,814,98,286800,,,,,
26-2-112,,,,1198,98,396100,,,,,
26-2-113,,,,814,98,284800,,,,,
26-2-114,,,,782,98,284400,,,,,
26-2-115,,,,775,98,267000,,,,,
26-2-116,,,,807,98,279700,,,,,
26-2-117,,,,977,98,363200,,,,,
26-2-118,,,,1092,98,365600,,,,,
26-2-119,,,,1092,98,365600,,,,,
26-2-120,,,,889,98,276500,,,,,
26-2-121,,,,889,98,282500,,,,,
26-2-201,,,,761,98,271400,,,,,
26-2-202,,,,889,98,287400,,,,,
26-2-203,,,,1034,98,372000,,,,,
26-2-204,,,,1092,98,400400,,,,,
26-2-205,,,,654,98,234100,,,,,
26-2-206,,,,807,98,290800,,,,,
26-2-207,,,,860,98,297700,,,,,
26-2-208,,,,782,98,293600,,,,,
26-2-209,,,,814,98,291800,,,,,
26-2-210,,,,1198,98,418400,,,,,
26-2-211,,,,814,98,291800,,,,,
26-2-212,,,,1198,98,412200,,,,,
26-2-213,,,,814,98,291800,,,,,
26-2-214,,,,782,98,293600,,,,,
26-2-215,,,,775,98,273500,,,,,
26-2-216,,,,807,98,290800,,,,,
26-2-217,,,,977,98,377600,,,,,
26-2-218,,,,1092,98,380100,,,,,
26-2-219,,,,1092,98,380100,,,,,
26-2-220,,,,889,98,287400,,,,,
26-2-221,,,,889,98,293800,,,,,
26-2-301,,,,889,98,293800,,,,,
26-2-302,,,,889,98,287400,,,,,
26-2-303,,,,1034,98,372000,,,,,
26-2-304,,,,1092,98,380100,,,,,
26-2-305,,,,654,98,234100,,,,,
26-2-306,,,,807,98,290800,,,,,
26-2-307,,,,860,98,297700,,,,,
26-2-308,,,,782,98,287300,,,,,
26-2-309,,,,814,98,291800,,,,,
26-2-310,,,,1198,98,412200,,,,,
26-2-311,,,,814,98,291800,,,,,
26-2-312,,,,1198,98,421600,,,,,
26-2-313,,,,814,98,291800,,,,,
26-2-314,,,,782,98,287300,,,,,
26-2-315,,,,775,98,277400,,,,,
26-2-316,,,,807,98,290800,,,,,
26-2-317,,,,977,98,377600,,,,,
26-2-318,,,,1092,98,380100,,,,,
26-2-319,,,,1092,98,380100,,,,,
26-2-320,,,,889,98,287400,,,,,
26-2-321,,,,889,98,287400,,,,,
26-2-401,,,,889,98,298300,,,,,
